I-ONE Agent,AI 员工
Created {0} scorecards for {1} between:,已为{1}创建{0}张计分卡，时间范围：
Creating Accounts...,创建科目......
Creating Delivery Note ...,正在创建交货单...
Creating Delivery Schedule...,正在创建交货计划...
Creating Dimensions...,创建辅助核算......
Creating Journal Entries...,正在创建日记账分录...
Creating Packing Slip ...,正在创建装箱单...
Creating Purchase Invoices ...,正在创建采购发票...
Creating Purchase Order ...,正在创建采购订单...
Creating Purchase Receipt ...,正在创建采购收货单...
Creating Sales Invoices ...,正在创建销售发票...
Creating Stock Entry,正在创建库存凭证
Creating Subcontracting Inward Order ...,正在创建外包收货订单...
Creating Subcontracting Order ...,正在创建外协订单...
Creating Subcontracting Receipt ...,正在创建外协收货单...
Creating User...,正在创建用户...
Creating {} out of {} {},正在创建{}/{}个{}
Creation,创建日期
Creation of <b><a href='/app/{0}'>{1}(s)</a></b> successful,成功创建<b><a href='/app/{0}'>{1}</a></b>
"Creation of {0} failed.
				Check <b><a href=""/app/bulk-transaction-log"">Bulk Transaction Log</a></b>","创建 {0} 失败。
				检查 <b><a href=""/app/bulk-transaction-log"">批量事务日志</a></b>"
"Creation of {0} partially successful.
				Check <b><a href=""/app/bulk-transaction-log"">Bulk Transaction Log</a></b>","创建 {0} 部分成功。
				检查 <b><a href=""/app/bulk-transaction-log"">批量事务日志</a></b>"
Credit,贷方
Credit (Transaction),贷方(交易货币)
Credit ({0}),贷方（{0}）
Credit Account,贷方科目
Credit Amount,贷方
Credit Amount in Account Currency,贷方(科目货币)
Credit Amount in Reporting Currency,贷方金额（报告货币）
Credit Amount in Transaction Currency,贷方(交易货币)
Credit Balance,剩余信用额度
Credit Card,信用卡
Credit Card Entry,信用卡分录
Credit Limit,信用额度
Credit Limit Crossed,超信用额度
Credit Limit:,信用额度：
Credit Limits,信用额度
Credit Note,退款
Credit Note Amount,退款金额
Credit Note Issued,已退款
"Credit Note will update it's own outstanding amount, even if 'Return Against' is specified.",即使指定'源单'，在本单处理付款与核销
Credit Note {0} has been created automatically,退款单{0}已自动创建
Credit To,贷记
Credit in Company Currency,贷方(本币）
Credit limit has been crossed for customer {0} ({1}/{2}),客户{0}（{1} / {2}）的信用额度已超过
Credit limit is already defined for the Company {0},公司{0}已定义信用额度
Credit limit reached for customer {0},客户{0}已达到信用额度
Creditor Turnover Ratio,应付账款周转率
Creditors,应付账款
Criteria,标准
Criteria Formula,计算公式
Criteria Name,标准名称
Criteria Setup,条件设置
Criteria Weight,权重
Criteria weights must add up to 100%,标准权重合计必须为100％
Cron Interval should be between 1 and 59 Min,定时任务间隔应设置为1至59分钟
Cross Listing of Item in multiple groups,多个组物料交叉显示
Currency Exchange Settings Details,汇率设置明细
Currency Exchange Settings Result,汇率设置结果
Currency Exchange must be applicable for Buying or for Selling.,外币汇率必须适用于买入或卖出。
Currency can not be changed after making entries using some other currency,货币不能使用其他货币进行输入后更改
Currency for {0} must be {1},货币{0}必须{1}
Currency of the Closing Account must be {0},在关闭科目的货币必须是{0}
Currency of the price list {0} must be {1} or {2},价格表{0}的货币必须是{1}或{2}
Currency should be same as Price List Currency: {0},货币应与价格表货币相同：{0}
Current Address,当前地址
Current Address Is,当前地址性质
Current Amount,当前金额
Current Asset,流动资产
Current Asset Value,资产现值
Current Assets,流动资产
Current BOM,当前物料清单
Current Exchange Rate,当前汇率
Current Level,当前层级
Current Liabilities,流动负债
Current Liability,流动负债
Current Node,当前节点
Current Qty,当前库存数量
Current Ratio,流动比率
Current Serial / Batch Bundle,当前序列号/批号
Current Serial No,当前序列号
Current State,当前状态
Current Status,当前状态
Current Stock,当前库存
Current Valuation Rate,当前成本价
Curves,曲线图
Custodian,保管人
Custody,保管
Custom Remarks,自定义备注
Custom delimiters,自定义分离符
Customer ,客户 
Customer / Item / Item Group,客户 / 物料 / 物料组
Customer / Lead Address,客户/线索地址
Customer > Customer Group > Territory,客户 > 客户组 > 区域
Customer Acquisition and Loyalty,客户获得和忠诚度
Customer Code,客户代码
Customer Contact,客户联系人
Customer Contact Email,客户联系电子邮件
Customer Credit Balance,客户剩余信用额度
Customer Credit Limit,客户信用额度
Customer Currency,客户货币
Customer Defaults,客户默认值
Customer Feedback,客户反馈
Customer Group Item,客户组物料
Customer Group Name,客户组名称
Customer Groups,客户组
Customer Item,客户物料
Customer Items,客户物料
Customer LPO,客户采购订单号
Customer LPO No.,客户采购订单号
Customer Ledger Summary,客户台账汇总
Customer Mobile No,客户手机号
Customer Name: ,客户名称：
Customer Naming By,客户号生成方式
Customer Number,客户编号
Customer Number At Supplier,供应商端客户编号
Customer Numbers,客户编号列表
Customer PO,客户PO
Customer PO Details,客户PO详细信息
Customer Portal Users,客户门户网站用户
Customer Primary Address,客户首选地址
Customer Primary Contact,客户首选联系人
Customer Provided,受托加工材料
Customer Provided Item Cost,客户提供物料成本
Customer Service,客户服务
Customer Territory,客户地区
Customer Type,客户类型
Customer Warehouse,客户仓库
Customer Warehouse (Optional),客户仓库（可选）
Customer Warehouse {0} does not belong to Customer {1}.,客户仓库{0}不属于客户{1}。
Customer contact updated successfully.,客户联系人更新成功
Customer is required,客户是必须项
Customer isn't enrolled in any Loyalty Program,客户未参与任何积分方案
Customer or Item,客户或物料
Customer required for 'Customerwise Discount',”客户折扣“需要指定客户
Customer {0} does not belong to project {1},客户{0}不属于项目{1}
Customer's Item Code,客户物料号
Customer's Purchase Order No,客户采购订单号
Customer-wise Item Price,客户物料价格
Customer/Lead Name,客户/销售线索名称
Customer: ,客户：
Customers,客户
Customers Without Any Sales Transactions,无交易客户
Customers not selected.,未选择客户
Customerwise Discount,客户折扣
Customs Tariff Number,海关关税号
Daily Project Summary for {0},{0}的每日项目摘要
Daily Reminders,每日提醒
Daily Time to send,每天发送
Daily Timesheet Summary,每日工时表汇总
Daily Yield (%),日产量（%）
Data Based On,数据依据
Data Import Configuration,数据导入配置
Date ,日期 
Date Based On,日期基于
Date Of Retirement,退休日期
Date Settings,日期设定
Date must be between {0} and {1},日期必须在{0}至{1}之间
Date of Birth cannot be greater than today.,出生日期不能晚于今天。
Date of Commencement,开始日期
Date of Commencement should be greater than Date of Incorporation,开始日期应晚于公司注册日期
Date of Establishment,成立时间
Date of Incorporation,注册成立日期
Date of Issue,签发日期
Date of Joining,入职日期
Date of Transaction,交易日期
Date: {0} to {1},日期：{0} 至 {1}
Dates,日期
Day Of Week,星期几
Day to Send,发送日
Days,天
Days Since Last Order,最后一次下单至今天数
Days Since Last order,距上次订购天数
Days Until Due,到期天数
DeLinked,已取消关联
Deal Owner,成交负责人
Debit,借方
Debit (Transaction),借方(交易货币)
Debit ({0}),借方（{0}）
Debit / Credit Note Posting Date,借项/贷项凭证过账日期
Debit Account,借方科目
Debit Amount,借方
Debit Amount in Account Currency,借方(科目货币)
Debit Amount in Reporting Currency,借方金额（报告货币）
Debit Amount in Transaction Currency,借方(交易货币)
Debit Note,扣款
Debit Note Amount,扣款金额
Debit Note Issued,已扣款
"Debit Note will update it's own outstanding amount, even if 'Return Against' is specified.",即使指定'退货依据'，借项凭证仍将更新自身未清金额
Debit To,借记科目（应收账款）
Debit To is required,借记科目必填
Debit and Credit not equal for {0} #{1}. Difference is {2}.,借{0}贷{1}不相等。差额为{2}。
